id,run_name,question,ground_truth,bot_answer,retrieved_chunks,latency_ms,score_retrieval_quality,score_llm_faithfulness,score_answer_relevance,error_type
Q_10,quality_baseline_scores,What is Sara Sharma's current leave balance and how many leaves has she taken?,Sara Sharma has a leave balance of 11 days and has taken 10 leaves.,I don't know. The provided context is the question itself and does not contain the answer regarding Sara Sharma's leave balance or leaves taken.,[],1941.85,,,,
Q_11,quality_baseline_scores,Could you provide Prisha Mehta's current salary and her available leave balance?,"Prisha Mehta's current salary is 1,149,019.58 and her available leave balance is 11 days.","I don't have Prisha Mehta's current salary or her available leave balance based on the provided context. The context is a question asking for that information, not the information itself.",[],1946.83,,,,
Q_12,quality_baseline_scores,Can you provide a summary of Aadhya Chowdhury's key employment and performance details?,"Aadhya Chowdhury (employee ID: FINEMP1008) works as Customer Support in the Operations department, located in Mumbai. She joined on February 12, 2019, and her manager's ID is FINEMP1007. Her current leave balance is 7, having taken 5 leaves, with an attendance percentage of 96.92%. She achieved a performance rating of 5 during her last review on August 7, 2024.","I don't have the retrieved context containing Aadhya Chowdhury's employment and performance details. The provided ""context"" is the question itself. Therefore, I cannot provide a summary.",[],2047.08,,,,
Q_13,quality_baseline_scores,What is Sai Gupta's current performance rating and when was their last review conducted?,"Sai Gupta's current performance rating is 2, and their last performance review was conducted on April 22, 2025.","I don't know, as the provided context only states the question and does not contain the answer regarding Sai Gupta's current performance rating or the date of their last review.",[],2148.22,,,,
Q_14,quality_baseline_scores,"What was FinNova's marketing spend in Q1 2024, and what were the key strategic objectives outlined in the report?","FinNova's marketing spend for Q1 2024 was $2 million. The key strategic objectives emphasized in the report were efforts to expand into Europe, launch the InstantPay feature, and boost social media engagement. The foundational focus for the quarter was also on building robust marketing infrastructure to support aggressive expansion and enhance customer acquisition channels.",I don't know. The provided context is the question itself and does not contain the answer regarding FinNova's marketing spend in Q1 2024 or its key strategic objectives.,[],2358.2,,,,
Q_15,quality_baseline_scores,What were FinNova's primary marketing initiatives and strategic focus for Q1 2024?,"In Q1 2024, FinNova's strategic focus was on establishing a scalable framework for growth, strengthening customer acquisition channels, and enhancing brand visibility. Key initiatives included launching targeted campaigns for European Market Entry in the UK, Germany, and France, introducing the InstantPay feature, and enhancing social media content strategies for amplification.","I don't have the information to answer what FinNova's primary marketing initiatives and strategic focus for Q1 2024 were, as the provided context is the question itself.",[],2366.04,,,,
Q_16,quality_baseline_scores,What was the total marketing spend projected for Q1 2024 and how was it allocated across different channels?,"The total marketing spend projected for Q1 2024 was $2 million. This budget was allocated as follows: 50% to digital advertising, 20% to product launch campaigns, 15% to social media marketing, 10% to content marketing, and 5% to event sponsorships.","I don't know the answer based on the provided context. The context provided is the question itself, not the data needed to answer it.",[],1863.63,,,,
Q_17,quality_baseline_scores,What is our target Cost Per Acquisition (CPA) and how is it calculated?,"Our target Cost Per Acquisition (CPA) is $13.33. This is calculated by dividing the marketing spend ($2M) by the customer acquisition target (150,000).","I don't know. The provided context only states the question ""What is our target Cost Per Acquisition (CPA) and how is it calculated?"" but does not provide the answer.",[],2256.46,,,,
Q_18,quality_baseline_scores,"What specific actions were taken to expand brand presence in Europe during Q1 2024, and what was the direct measurable outcome from the conference sponsorships?","To expand brand presence in Europe during Q1 2024, localized campaigns were launched in the UK, Germany, and France, focusing on digital ads and partnerships with local fintech influencers. Additionally, the company sponsored two major fintech conferences in London and Berlin, which directly generated 200 qualified leads.","I don't know. The provided context is the question itself, not an answer to it.",[],2098.81,,,,
Q_19,quality_baseline_scores,What were the primary focus areas of the Q4 2024 marketing efforts?,"The Q4 2024 marketing efforts primarily focused on market penetration, strengthening customer relationships, and optimizing marketing investments. These strategies were crucial for solidifying market position, enhancing customer engagement, and setting the stage for robust growth.","I don't know the answer based on the provided context. The context only states the question, not the answer.",[],1876.33,,,,
Q_20,quality_baseline_scores,What specific initiatives were implemented in Q4 2024 to enhance customer engagement and expand the market?,"To enhance customer engagement in Q4 2024, initiatives included strengthening customer loyalty programs and introducing personalized offers to boost retention. For market expansion, B2B marketing efforts were increased to acquire more enterprise clients, specifically targeting the technology and finance sectors.","I don't know, as the provided context is the question itself and does not contain the answer.",[],2127.07,,,,
Q_21,quality_baseline_scores,What was the specific financial allocation for digital advertising within the Q4 marketing budget?,"The total Q4 marketing spend was $2.5 million. Of this, 40% was allocated to digital advertising, meaning the specific financial allocation for digital advertising was $1 million.","I don't know the answer based on the context provided. The context you provided is the question itself, not the information needed to answer it.",[],2050.13,,,,
Q_22,quality_baseline_scores,"What were the specific targets for Conversion Rate, ROI, Customer Retention Rate, and Cost Per Acquisition in Q4, and how was CPA determined?","The specific Q4 targets were: Conversion Rate Target of 15.0%, ROI Target of 4.4x, and a Customer Retention Rate of 85%. The Cost Per Acquisition (CPA) target was $11.36, which was derived from dividing the marketing spend ($2.5M) by the customer acquisition target (220,000).","I don't know the specific targets for Conversion Rate, ROI, Customer Retention Rate, and Cost Per Acquisition in Q4, nor how CPA was determined, as this information is not provided in the retrieved context. The context only states the question itself.",[],2043.19,,,,
Q_23,quality_baseline_scores,What initiatives were undertaken in Q4 to increase enterprise client sign-ups and what was the measurable outcome?,"To increase enterprise client sign-ups in Q4, we developed targeted account-based marketing (ABM) campaigns specifically engaging clients in the technology, finance, and healthcare sectors. Additionally, we hosted virtual roundtables and webinars to showcase our solutions. These efforts led to a 15% increase in enterprise leads.","I don't know, as the provided context is the question itself and does not contain the answer regarding the initiatives undertaken in Q4 or their measurable outcomes.",[],1964.34,,,,
Q_24,quality_baseline_scores,What were the main strategic objectives and areas of focus for the company during Q2 2024?,"During Q2 2024, the company's main strategic objectives were reinforcing brand dominance in existing markets and strategically expanding into Southeast Asia. Additionally, the quarter focused on driving customer acquisition, enhancing engagement, and optimizing marketing investments.","I don't know the answer based on the provided context. The context provided is the question itself, not the information needed to answer it.",[],2029.93,,,,
Q_25,quality_baseline_scores,"What was the total marketing spend for Q2 2024, and what was the target ROI for these efforts?","The total marketing spend for Q2 2024 was $2.5 million, allocated to achieve a balanced approach between acquisition and retention while targeting a 2.4x ROI.","I don't know. The provided context is the question itself, not the answer.",[],1749.17,,,,
Q_26,quality_baseline_scores,How was the $2.5 million marketing spend for Q2 2024 allocated across different channels?,"The $2.5 million marketing spend for Q2 2024 was allocated as follows: 45% for digital advertising, 20% for influencer partnerships, 15% for email marketing, 10% for content marketing, and 10% for event sponsorships.","I don't know. The provided context only states the question about the allocation of the $2.5 million marketing spend for Q2 2024, but does not provide the answer.",[],1934.71,,,,
Q_27,quality_baseline_scores,What is our target Cost Per Acquisition (CPA) and how was it derived?,"Our target Cost Per Acquisition (CPA) is $12.50. This figure was derived by dividing the marketing spend by the customer acquisition target, specifically $2.5M by 200,000.","I don't know the answer to your question based on the provided context. The context you provided is the question itself, not the answer.",[],2049.55,,,,
Q_28,quality_baseline_scores,"What actions were taken to increase market share in Southeast Asia during Q2, and what was the measured impact on website traffic?","To increase market share in Southeast Asia, localized digital campaigns were launched in Indonesia, Thailand, and Vietnam, tailored to cultural and consumer preferences. Additionally, partnerships were established with regional e-commerce platforms. These initiatives resulted in a 15% increase in website traffic from Southeast Asia.","I don't have the answer to that question based on the provided context. The context you provided is the question itself, not the information needed to answer it.",[],2149.33,,,,
Q_29,quality_baseline_scores,What were the primary strategic focus areas for the company during Q3 2024?,"During Q3 2024, the company's strategic focus was on deepening customer loyalty and expanding its footprint in Latin American markets. This was driven by prioritizing customer retention, forging new merchant partnerships, and enhancing brand visibility through localized campaigns.","I don't know the answer based on the provided context. The context provided is the question itself, not the information needed to answer it.",[],1860.63,,,,
Q_30,quality_baseline_scores,What were the two main marketing priorities for Q3 2024?,"In Q3 2024, the marketing strategy revolved around two key priorities: strengthening customer retention to ensure long-term loyalty and penetrating Latin American markets to diversify the customer base.","I don't know the answer based on the provided context. The context provided is the question itself: ""What were the two main marketing priorities for Q3 2024?""",[],1737.21,,,,
Q_31,quality_baseline_scores,Can you detail the allocation of the $2 million marketing spend for Q3 2024?,"For Q3 2024, the $2 million marketing spend was allocated across digital advertising (35%), loyalty programs (20%), event sponsorships (20%), merchant partnerships (15%), and content marketing (10%).",I don't have the details for the allocation of the $2 million marketing spend for Q3 2024 in the provided context. The context only states the question about the allocation.,[],1923.17,,,,
Q_32,quality_baseline_scores,What was the target Cost Per Acquisition (CPA) for Q3 and how was it determined?,"The target Cost Per Acquisition (CPA) for Q3 was $11.11. It was calculated by dividing the total marketing spend ($2M) by the customer acquisition target (180,000 customers).","I don't know the answer, as the provided context only states the question ""What was the target Cost Per Acquisition (CPA) for Q3 and how was it determined?"" and does not contain the actual target CPA or its determination method.",[],2278.22,,,,
Q_33,quality_baseline_scores,"What specific initiatives were implemented in Q3 2024 to strengthen customer retention, and what was their measurable impact?","In Q3 2024, customer retention was strengthened by launching a points-based loyalty program, which offers redeemable rewards for purchases and referrals, and by implementing targeted email campaigns with personalized offers. These initiatives led to a 10% increase in repeat purchases compared to Q2.","I don't have the answer to that question based on the provided context. The context you provided is the question itself, not the information needed to answer it.",[],2125.09,,,,
Q_34,quality_baseline_scores,"What was FinSolve Technologies's revenue trajectory in 2024, and what other financial performance indicators showed consistent improvement during the year?","In 2024, FinSolve Technologies Inc. saw its revenue increase from $2.1 billion in Q1 to $2.6 billion in Q4. Alongside this growth, the company also achieved consistent improvements in gross margin, operating income, and net income throughout the year.","I don't have the information to answer that question. The provided context is the question itself, not the data needed to answer it.",[],2165.8,,,,
Q_35,quality_baseline_scores,"What was the total marketing spend for Q1 2024, and what were the primary objectives for this expenditure?","The marketing spend for Q1 2024 was $500 million. This expenditure was primarily focused on digital marketing campaigns and brand awareness initiatives, specifically to support the company's entry into the European market.","I don't know the answer, as the provided context only states the question and does not contain the information regarding the total marketing spend for Q1 2024 or its primary objectives.",[],1988.59,,,,
Q_36,quality_baseline_scores,"Which expense categories experienced a year-over-year increase, and what were their respective percentages of increase and the main reasons provided?","Two expense categories experienced a year-over-year increase: Employee Benefits & HR, which was up 15% YoY due to increased staffing and employee development programs, and Software Subscriptions, which was up 18% YoY reflecting expanded reliance on cloud-based platforms for operational scalability.","I don't have the specific data regarding which expense categories experienced a year-over-year increase, their percentages, or the main reasons provided, based on the context given. The context provided is a question, not an answer containing the requested information.",[],2706.03,,,,
Q_37,quality_baseline_scores,What was FinSolve Technologies's cash flow from operations and what factors contributed to its performance?,"FinSolve Technologies reported a Cash Flow from Operations of $300 million, which represents a 10% increase year-over-year. This performance was driven by strong revenue and efficient working capital management.","I don't know FinSolve Technologies's cash flow from operations or the factors that contributed to its performance, as the provided context only states the question and does not contain the answer.",[],2008.13,,,,
Q_38,quality_baseline_scores,What are the primary financial solutions offered by FinSolve Technologies and where is the company headquartered?,"FinSolve Technologies offers innovative financial solutions including digital banking, payment processing, wealth management, and enterprise financial analytics. The company is headquartered in Bangalore, India.","I don't know the answer based on the provided context, as the context is the question itself and does not contain information about FinSolve Technologies' financial solutions or headquarters.",[],1772.55,,,,
Q_39,quality_baseline_scores,What is the main purpose of this engineering document?,"This engineering document serves as a comprehensive guide for engineering teams, stakeholders, and partners to ensure alignment with FinSolve's mission: ""To empower financial freedom through secure, scalable, and innovative technology solutions.""","I am an assistant for FinSolve Technologies.

Based on the retrieved context, which is ""What is the main purpose of this engineering document?"", I do not have the information to answer what the main purpose of the document is. The context provided is the question itself, not an answer to it. Therefore, I don't know the answer.",[],1946.3,,,,
Q_40,quality_baseline_scores,What specific topics are detailed within the scope of this document?,"This document covers system architecture and infrastructure, software development lifecycle (SDLC), technology stack, security and compliance frameworks, testing and quality assurance methodologies, deployment and DevOps practices, monitoring and maintenance protocols, and the future technology roadmap.","I don't know, as the provided context is the question itself and does not contain information about the specific topics detailed within the scope of a document.",[],2048.29,,,,
Q_41,quality_baseline_scores,What specific changes were incorporated into version 1.1 of the document?,"Version 1.1 of the document, dated 2025-05-14 and authored by the Tech Architecture Council, introduced updated diagrams and modifications to the monitoring section.","I don't know the answer, as the provided context is the question itself and does not contain information about the specific changes in version 1.1 of the document.",[],2092.34,,,,
